,i,u,e,o,a,ɑ,y,ø,p,b,t,d,k,g,s,z,ʃ,ʒ,ts,dz,tʃ,dʒ,m,n,ŋ,l,r,j,w,#
high,+,+,-,-,-,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
low,-,-,-,-,+,+,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back,-,+,-,+,-,+,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round,-,+,-,+,-,-,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vocalic,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
consonant,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,-,0
strident,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,+,+,+,+,0,0,0,0,0,0,0,0
labial,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,0
coronal,0,0,0,0,0,0,0,0,0,0,+,+,0,0,+,+,+,+,+,+,+,+,0,+,0,+,+,+,0,0
dorsal,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0,0,0,+,+,0,0,+,+,-,-,+,+,-,-,0,+,0,+,-,-,0,0
sonorant,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,0
continuant,+,+,+,+,+,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,-,-,+,+,+,+,0
approx,+,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,0
lateral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0
rhotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0
nasal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0
delrel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,+,+,+,+,0,0,0,0,0,0,0,0
voice,+,+,+,+,+,+,+,+,-,+,-,+,-,+,-,+,-,+,-,+,-,+,+,+,+,+,+,+,+,0
wb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
